f,h,R_0,R_n,E_phi,E_psi,P,Q,N_0,N_n
[32 84],[ 2 49],100,46,[38 33],[65 28],[[ 34  68  90 102]; [ 12 100  42  14]],[[ 46   6  98   0]; [104  28  54  80]],[68 66  8 10],[92 10 74 16]
[57 52],[27 70],54,78,[0 8],[35 35],[[90 32 10  4]; [28 10 52 18]],[[ 0 94  2 10]; [22 76 86 20]],[54 66 70 54],[26 50 26 64]
[87  0],[42 54],100,90,[46 78],[96 70],[[ 2 58 18 12]; [70 98 90 92]],[[60 98  8  2]; [14 26 36 92]],[64 22 40 74],[54 16 32 28]
[38 95],[54 37],16,34,[50 10],[ 39 100],[[98 88 28 12]; [82  2 34 94]],[[18 36 62 76]; [58 50 60 88]],[100  28  68   8],[74 64 96 38]
[ 5 75],[71 92],98,6,[73 13],[58 82],[[58 26 10 70]; [62 20  6 66]],[[100  62  88  12]; [ 86  14  84  22]],[56 58 62 42],[100  20  16  72]
[94 76],[31 29],82,80,[ 22 100],[76 25],[[ 76  78 102  28]; [ 92  68  88  16]],[[46 64 14 10]; [56 94 84 38]],[38  4 80 90],[ 0  8 86 18]
[53 62],[50 73],30,82,[93 85],[65 92],[[26 58 22 50]; [48 66 12  4]],[[12  4 96 70]; [92 26 58 32]],[42 30 26 88],[ 2 70 56 38]
[ 34 102],[ 48 100],88,44,[89 11],[ 6 91],[[ 2 72 64  8]; [94 16 96 12]],[[ 18  54  72 104]; [100  30   2  20]],[58 88 60  8],[ 90 100  94  14]
[80 44],[0 1],14,42,[23 33],[91 59],[[ 46 102  16  94]; [ 74  94 104 100]],[[78  8 68 36]; [76 14 48 46]],[28 38 58 12],[ 4 74  4 50]
[54 22],[83 30],98,84,[86 32],[79 90],[[48 96 76 22]; [92 42 76 54]],[[ 14 100  90  24]; [ 78  16  66  18]],[44 40 88 36],[ 2 86  8 14]
[81 57],[24 23],14,22,[10 72],[0 8],[[12 42 54 24]; [38 26  6 90]],[[ 14  60  16  64]; [  8  52 102  76]],[96 58 22 26],[90 60  2 94]
[82 64],[61 67],72,76,[35 84],[31  8],[[52 20 36 64]; [26 38 30 74]],[[80 44 58 56]; [56 20 66 78]],[62 96 48  8],[38 36 90 16]
[60 89],[85 69],48,28,[ 30 103],[100  90],[[ 4 54 72 94]; [52  8 10 12]],[[20 34 68 18]; [12 80 96 90]],[60 40 74 30],[ 14 100  58  98]
[38 51],[ 3 18],22,18,[10 39],[17 80],[[16 24  6 76]; [76 28  0 96]],[[38 94 82 50]; [62 12 32 18]],[ 52  42 104  92],[98 22 64 14]
[ 67 101],[11 20],6,96,[62  5],[71 84],[[88 42 46 58]; [34 46 70 20]],[[ 32  82 102  96]; [ 22  76  22  82]],[86 62 62 36],[ 60  34 102  14]
[65 87],[103  25],90,44,[58 23],[33 15],[[ 16 102  24  74]; [ 62  92  80  32]],[[46 32  0 68]; [86 22 50 48]],[ 8 98 16 38],[22 30 96 20]
[23 85],[18 16],82,6,[18 75],[ 8 23],[[86  6 30 14]; [54 16 36  4]],[[ 16  68  64 102]; [ 48 104  60  30]],[32 52 36 82],[46  0 14 74]
[24 76],[65 80],36,98,[ 7 33],[20 65],[[40  2  8  8]; [50 26 46 76]],[[32 18 94 22]; [14 78 78 20]],[38 46 34 72],[76 64 50 38]
[42 73],[98 56],32,86,[100  50],[92 78],[[38 22 68 66]; [46 34 24 60]],[[26 66 76 16]; [88 30 16 48]],[ 8 96 26 86],[82 46 76 36]
[27 60],[45 19],88,94,[ 8 43],[45  5],[[78 88 86 84]; [92 14 16 76]],[[14  4 36 10]; [24 10 20 82]],[64 82 36 48],[64 10 46  0]
[60 57],[38 88],98,70,[73 67],[73 71],[[36 98 70  0]; [90 82 26 94]],[[ 88  30  48  54]; [ 44   4  40 100]],[52 60 82 18],[44 80 52 62]
[ 4 86],[13 59],72,6,[60  0],[77 59],[[78 24 28 86]; [18 60 42 80]],[[84 70 56  0]; [62 38 10 28]],[ 16  60 100  36],[ 6 36 20 26]
[58 46],[69 70],10,30,[79 35],[10 56],[[100  48  80 104]; [ 24  18  40  28]],[[96 44 70 60]; [10 88 26 78]],[22 84 54 76],[88 32 78 38]
[78 53],[75 51],14,38,[48 53],[85 47],[[52 94 24 40]; [10 18 56 68]],[[12 40 42  2]; [ 2 88 28 12]],[62 36 98 68],[98 28 40 94]
[90 47],[15 96],38,54,[76 61],[66 18],[[ 64  30  94  56]; [  6 104  46  94]],[[84 36 68 42]; [54 58 64 96]],[22 90 66 20],[54 24 76 54]
[37 16],[30  6],98,92,[104  15],[97 80],[[12 32 52 32]; [46 10 16 24]],[[92 38 60 64]; [42 14 86  4]],[82 62 86 54],[ 74  36 100  42]
[39 97],[96 17],36,36,[40 41],[11  8],[[66 26 60 50]; [92 70 90 36]],[[ 78 104  58  88]; [ 16  50  98  22]],[48 56  0 52],[50 48 98 78]
[31 39],[48 30],56,60,[24 93],[ 83 103],[[52 90 74 94]; [66 66 36 32]],[[66 44 34 32]; [12 82 80 38]],[14 90 18 38],[94 92 56 72]
[68 14],[85 75],20,78,[ 5 84],[98  4],[[ 20  62  18  52]; [ 10  16 102  18]],[[56 70 46 16]; [90 38 96 86]],[40 60  2 52],[72 96 24 90]
[72 36],[13 57],48,40,[28 69],[ 5 70],[[22 90  0 94]; [98 76 52 14]],[[96 66 64 28]; [70 94 46 30]],[74 84 88 50],[26 70 42 98]
[58 83],[ 91 104],42,84,[42 42],[ 2 78],[[48 58 98 22]; [82 72 20 10]],[[54 48 16 80]; [ 6 18 66 36]],[54 42 48  0],[ 2 94 70 36]
[65 32],[ 9 24],50,32,[45 45],[78 49],[[62 86 26  6]; [26  6 98 44]],[[102  54   4  58]; [ 46  58  64  72]],[76 96 98 80],[48 58 16  0]
[54 73],[90 66],64,40,[31 96],[80 46],[[ 42  16 102  62]; [ 98  64 100  48]],[[34 34 28 64]; [80 82 24 82]],[44 32 92 56],[  4 102  84  58]
[94 20],[33 99],58,10,[11 95],[41 28],[[54 18 54 14]; [58 98 76 60]],[[94 28 64 20]; [70 94 52 20]],[46 88 54 38],[54 20 78 50]
[37 88],[ 24 103],68,2,[32  8],[74 11],[[70 42 70 56]; [60 78 64 40]],[[ 16  14  58 100]; [ 76  28  88  24]],[64 58 88  4],[34 94 46 68]
[93  5],[51 29],24,70,[19 60],[83 43],[[52 16  6 48]; [ 8 10 32 24]],[[ 40  86  36   8]; [ 92  68 104  44]],[50  0 28  6],[12 58 52  2]
[41  9],[ 3 18],94,8,[104  74],[ 3 36],[[64 90 56 52]; [68 32 18 76]],[[42 12 56 82]; [22 16 48 82]],[42 12 96 60],[94 82 38 84]
[37  9],[70 37],32,102,[104  89],[67 54],[[20 50 94  4]; [ 6 28 70 94]],[[18 70 18 68]; [50 12 88  8]],[100  88  12  54],[ 2 88 76 32]
[ 17 102],[49 67],48,38,[29 12],[15 77],[[82 24 26 20]; [40 88 64 78]],[[ 44  88 104  52]; [ 20  74  56  44]],[86 10 34 94],[98 60 58  6]
[44 49],[61 88],28,82,[89 50],[84 31],[[96 88 50 84]; [10 30 56 46]],[[ 92  20  78   4]; [ 22  28 104   2]],[ 76 104  68  88],[96 32 82 88]
[17 55],[14 85],80,2,[ 90 100],[82 73],[[66 20 40  0]; [32 82 48 78]],[[  2  94  30  62]; [ 30  48  38 100]],[36 88 82  2],[78 90 36 28]
[57 70],[ 3 76],46,88,[47  9],[80 62],[[76  8 34 24]; [68 26 34 26]],[[60 30 74 70]; [32 22 38 28]],[ 70   4 100  46],[36 86 44 68]
[100   8],[90 12],20,24,[54 91],[ 3 33],[[50 46 60 20]; [30 52 22 46]],[[44 34 40 34]; [62 66  8 88]],[74 12  6 50],[66 10 56 78]
[93 44],[39 68],100,54,[38 64],[81 69],[[36 86  0 46]; [ 0 10 94 52]],[[92 26 98 44]; [96 28 24 90]],[  2  18 102  90],[86 48 24 56]
[21 27],[60 81],64,26,[84 97],[16 99],[[86 54 84 92]; [46 90 76 34]],[[102  38  18  32]; [ 94 100  50  98]],[78 22  0 32],[100  22  12  22]
[21 40],[71  1],70,20,[104  82],[53 61],[[  2 104  96  10]; [  4   6  66 104]],[[40 38 10 26]; [12 74 90 28]],[ 30 104  94  76],[  6 102  28   0]
[ 9 60],[76  3],84,30,[ 89 103],[90 10],[[24 86 28 66]; [18 42 50 46]],[[54 92 92 68]; [62 46 22  2]],[66 84 78 18],[ 4  8 72 32]
[100  78],[68 75],92,74,[32 51],[47 25],[[102  62  72 102]; [ 76   8  86   4]],[[34 98  8 48]; [52  2 54 34]],[76 78 42 34],[14 14 76  8]
[39 39],[ 8 15],56,18,[75 82],[0 8],[[100  86 102  82]; [ 46  34   2  70]],[[64 24 80  2]; [86 94 60 94]],[98 66 16 72],[  4  70  48 104]
[43 16],[100  35],100,44,[20 78],[28 69],[[ 84  26  98  68]; [ 96 100 102 102]],[[50 86 86 74]; [46 54 70 44]],[ 0 52 72 34],[ 92 100  14 100]
[94 58],[14 29],82,46,[14 87],[76 57],[[56 86 72 60]; [62 98 34 76]],[[44 98 70 92]; [32 26 78 46]],[12 46 94 62],[46 76 72 32]
[40 36],[93 28],46,90,[95 54],[94 47],[[26 94 28 60]; [76 12 34 30]],[[94 74 32 40]; [10 34 18 68]],[ 8 40 68  2],[18 16 84 52]
[55 11],[44 52],36,50,[63 15],[25 57],[[52 50 30 32]; [88 82 84 38]],[[66  8  6 80]; [58 86 66  4]],[94 42 92 40],[72 70 74 86]
[76 18],[103 100],94,100,[ 5 63],[52 72],[[64 50 66 44]; [78 16  4 12]],[[40 60 24 42]; [18 10  0 62]],[10 60 64 36],[12 86 38 44]
[85 92],[90 59],74,80,[22  1],[44 51],[[ 62   0  36  26]; [104  94   6  16]],[[42 62 12 70]; [92 32 82  2]],[18 46  8 68],[90 40 10  0]
[93  8],[49 55],38,28,[73 55],[12  1],[[48 36 84 28]; [90 96 68 64]],[[ 2 40 46 88]; [96 32 96 20]],[18 78 28 88],[80 46  4 56]
[46 60],[45 46],64,86,[42 25],[51 22],[[18 38 62 30]; [46 48 96 50]],[[  4  30  60  82]; [102  36  30  86]],[ 8 84 68 22],[82 94  0 62]
[ 5 84],[15 83],20,20,[13 30],[21 12],[[18 70 20 92]; [16 64 24 96]],[[12  6  4 86]; [ 4 66 40 10]],[72 84 48 72],[70 64 74 44]
[63 52],[43 36],54,82,[70 39],[59 54],[[ 70 104   2  22]; [ 60  74  16  52]],[[70 56 22 36]; [38  4 12  8]],[ 8 66 10 18],[100  36  52  14]
[23 97],[54 10],82,42,[ 9 84],[67 76],[[ 50  80 104  56]; [ 72  80  16  94]],[[96  8 76 58]; [16 56 60 34]],[100  84  96  14],[68 10 96 78]
[ 4 84],[12 61],46,88,[87 60],[40 57],[[  4  48  28  48]; [100  68  72  32]],[[62  4 10 44]; [42  6 20 24]],[72 88  6 22],[36  2 82 92]
[47 28],[53 31],16,78,[83 90],[85 59],[[50 22 90 14]; [90 42 42 26]],[[90 98 70 44]; [46 60 76 36]],[30 70 50 92],[14 20 68 14]
[94 59],[ 2 43],26,8,[42 78],[ 32 104],[[26 50 72 70]; [84 74 46 98]],[[ 10   0 100  22]; [  8  96  96  28]],[ 2 56 98 84],[20 14  0 18]
[57 51],[ 3 96],38,28,[85  1],[ 4 30],[[ 40  62 104  60]; [  4   2  38  94]],[[10 28 40 30]; [38 32 14 68]],[86 54 50 78],[50 76 76 40]
[77 93],[99 70],22,32,[99  1],[82 83],[[76 28 64 52]; [42 78 92 40]],[[ 70  86 100   4]; [ 38  58   8  46]],[ 32  28  22 100],[ 4 54 88 80]
[62 15],[51 49],34,100,[84 76],[ 5 33],[[62 58 50 94]; [40  8 30 24]],[[ 68  84  64 102]; [ 84  54  46  42]],[ 4 94 68 76],[ 8  0 46 18]
[43  7],[ 5 74],34,70,[41 76],[ 62 104],[[ 6 88 44  4]; [38 58 98 64]],[[50 86 28 24]; [54 54 92 92]],[ 30 104  14  28],[26 46  6 12]
[49 47],[48  1],60,94,[57 93],[70 43],[[ 88  48  12  92]; [104  40  56  14]],[[30 56 36 58]; [72 78 28 36]],[104  66   2 102],[22 80 54 38]
[ 6 20],[82 43],98,10,[ 9 34],[52 21],[[100   4  78  44]; [ 38  12  84  82]],[[10 12 18 72]; [74 46 72 32]],[44 54 20 98],[18 60 18 76]
[71 86],[18 37],90,36,[ 3 57],[83 13],[[94 36 22 58]; [16 58 38 98]],[[80 68 74 64]; [ 8 20 26 52]],[104  60  54  52],[14 64 38 34]
[18 52],[99 13],34,14,[ 19 100],[26 71],[[24  8 72 56]; [ 6 20 38 34]],[[86  0 24 34]; [14 74  8 90]],[ 24  32  46 102],[14 42 54  4]
[35 19],[83 45],28,88,[78 34],[73 28],[[28 92 84 44]; [70 36 22 38]],[[104  18  42  70]; [102  54  54  28]],[ 88  68  36 104],[72  4 40 32]
[86 29],[41 26],54,80,[12 96],[50 25],[[54 52 98 70]; [78 44 72 84]],[[58 90 90 98]; [88 94 46 90]],[64 74 56 82],[ 40  76 104  76]
[30 79],[66 82],36,26,[86 46],[52  0],[[16 48 64 36]; [ 2 80 14 58]],[[26 20 70 54]; [ 6 42 20 54]],[18 30 92 64],[ 4 68 78 32]
[ 1 27],[14  8],74,102,[24 53],[ 32 102],[[  6 104  22  62]; [ 28  60  76  62]],[[48 20 74 92]; [ 0 40 12 98]],[64 82 72 80],[20 40 70 66]
[ 17 103],[94 26],40,36,[52 19],[65 91],[[52 98 92 12]; [12 36 12 88]],[[28 90 26 72]; [40 88 60  2]],[72 64 20 46],[62 94 38 16]
[12 31],[ 4 11],84,26,[73 31],[104  71],[[84 28 50 34]; [ 4 12 12 96]],[[18 46 82 66]; [10 30 28 60]],[54 54 34 46],[18 10 84 62]
[60 61],[81 29],90,94,[36 61],[35 90],[[ 94  16  46  74]; [ 92  92 100  28]],[[34 22  8 48]; [48 28  6 66]],[ 0 94 46 42],[ 0 34 88 34]
[37 18],[101  12],26,8,[40 68],[76 81],[[74 60 26 60]; [ 6 94 62 96]],[[ 60 100  46   4]; [ 70  18  14   6]],[102 100  44  76],[74 18 88 82]
[68 53],[71 52],56,32,[40 20],[78 57],[[80 68 38 58]; [16 18 78 12]],[[88 58 84 24]; [76 36 48  4]],[ 64 102 100  70],[14 34  6 58]
[76 54],[65 38],40,58,[60 45],[23 66],[[26 90 82  6]; [48 64 62 32]],[[76 76 28 58]; [24 16 14 78]],[ 22 104  10   0],[102  66  56  28]
[79 57],[67 31],54,38,[93 94],[40 91],[[70 66 14  6]; [ 4 76 22 30]],[[ 68  92  92   4]; [ 66  14 100  86]],[80 96 28 54],[28 54 36  2]
[47 51],[98 57],46,22,[62  7],[42 35],[[ 96 104  52  78]; [ 96  18   2   4]],[[48 88 76  0]; [30 98 50 76]],[40 28 78 48],[52  0 64  2]
[77 19],[92 97],44,34,[17 57],[23 57],[[66 76 56 50]; [22 24 54 84]],[[  4  62  98 102]; [ 76   4  28   0]],[ 44  78 100  18],[88 36 60  2]
[101  43],[59 49],90,74,[18 49],[77 80],[[30 50  2 80]; [96 10 52 78]],[[100  48   4 102]; [  4  66  40  76]],[76  8 62 14],[ 62 100  74  60]
[73 19],[55  7],16,64,[93 20],[66 29],[[ 8  6 18 48]; [46 46 98  8]],[[ 86  38  88  66]; [ 48 102   2  66]],[104  88  58  74],[16 30 92 72]
[ 2 17],[73 71],88,54,[18 25],[39 60],[[  4  22  26  62]; [ 50 100  78  12]],[[94 16 28 14]; [78 86  6 20]],[100  94  12  42],[20  2 78 96]
[81 31],[20 59],30,8,[87 95],[103  29],[[68 64 70 72]; [34 16 64  6]],[[102  50  58  64]; [ 92 100  34 104]],[72 74 18 84],[44 78 62 30]
[85 22],[103 100],68,38,[48 15],[47 40],[[84 76 70 76]; [24 42 88 76]],[[ 30  40   4  10]; [ 44 100  12  94]],[ 82  42  86 100],[ 8  2  8 70]
[63 83],[ 8 56],72,56,[25 40],[98 82],[[80  0 36 18]; [50 52 36 10]],[[ 58   6  94  34]; [100  12  88  58]],[58 84  6 86],[ 48  22 100  78]
[47 13],[60 15],60,68,[ 3 87],[75 81],[[54 94 76 92]; [10 78 80 70]],[[102  56  98  12]; [ 28  84  62  32]],[88 38 54 52],[102  52  76  66]
[ 4 24],[90 85],38,78,[96 92],[37 90],[[ 2 60 80 22]; [18 26 72 94]],[[30 30  8 24]; [64  6 72 48]],[ 4 92 76 92],[98 34 62 52]
[27  2],[ 0 95],6,2,[ 3 40],[96 83],[[56 86 16 78]; [66 76 82  8]],[[52 42 94  8]; [82 14 72 32]],[78 56 90 46],[34 14 68 78]
[ 45 101],[69 76],86,100,[19 17],[ 5 51],[[34 20 66 94]; [ 0 86 36 60]],[[90 22 34 72]; [70 34 42 38]],[60  6  8 90],[ 92  16 102  90]
[ 5 17],[67 45],8,6,[ 2 33],[37 95],[[80 58 64 64]; [52 36 38  8]],[[24 94 34 66]; [96 68  4 76]],[18 36  8 84],[22 24 88 46]
[50 53],[17 18],58,58,[93 66],[103   9],[[ 0 88 34  8]; [20 72 44 44]],[[18 52 42  2]; [40 18  6 56]],[70 62 68 36],[60 82 56 56]
[71 62],[37 26],36,72,[ 38 101],[76 66],[[22 30 44 44]; [92 90 60 90]],[[68 36 86 96]; [42 50 54 84]],[ 8 46 40 76],[ 76 102  36  22]
[10 98],[99 34],20,4,[81 65],[32 27],[[ 90  82  52  14]; [ 60  36  48 100]],[[74 22  0 34]; [72 98 88 10]],[96 10  8 50],[66 72 52 40]
[17 71],[88 62],10,10,[21 16],[78 62],[[ 8  0 12 32]; [92 76  4 58]],[[18  0  6 16]; [36 38  2 82]],[22 40 78 84],[100   2  84  16]
[ 1 26],[95 57],58,94,[40 63],[91 54],[[78 86 80 30]; [34 76 78 38]],[[54 12 60 54]; [70 42 28 32]],[58 44 66 60],[66  6 80 70]
[55 92],[ 6 74],2,18,[104  93],[61 19],[[24 78 14 58]; [44 26 62 30]],[[24 70  0 60]; [30 30 82 86]],[10  8 70  8],[86 60  2 84]
[68 79],[20 34],76,32,[43 88],[48 88],[[ 2 64  6 66]; [44 98 68 44]],[[ 26 102  44 102]; [104  36  90  34]],[28 76 54 80],[88 66 34 60]
[64 85],[77 60],22,40,[87 10],[54 61],[[82  2 64 66]; [98 20 14  0]],[[50 10 40 84]; [50  0 36 44]],[ 2 60 64 98],[ 90 104  34  68]
[30 72],[49 42],44,60,[ 0 66],[ 2 66],[[ 50  50  84  82]; [ 18  68  12 102]],[[30 10 18 64]; [72 88 88 48]],[ 58  96  28 100],[104  54  34  96]
[ 5 37],[76 24],18,96,[48 68],[71 41],[[68 12 80 36]; [14 50 18 80]],[[50 68 66 54]; [10  6 72 82]],[56  6 10 54],[44 22 54 48]
[73 76],[46 26],30,40,[86 71],[85 28],[[ 88  66  28  58]; [102  34  42  24]],[[36 30 12 38]; [98 34 54 58]],[74 98  6 90],[44 52 66 76]
[57 40],[68 28],82,68,[49 16],[74 91],[[ 0 38 28 98]; [92  4 30 70]],[[ 72  90  40  66]; [ 18  44  20 102]],[ 40  56 100  14],[74 70  0 92]
[60 10],[ 5 78],78,58,[44 96],[48 84],[[ 82  12 102  64]; [ 26  64  30  24]],[[26 96 72 10]; [88 32 50 50]],[  6  90  50 102],[14  0 82 86]
[10 84],[24 36],4,70,[78 96],[ 6 49],[[98  0  8 80]; [24  8 84 58]],[[ 84   2  38  20]; [ 68  86  24 100]],[58 50 76 28],[66 62 96 94]
[13 67],[62 39],12,20,[39 86],[25  0],[[104  86 100  42]; [  2  98  42   4]],[[ 0  2 38 70]; [90 68  2 74]],[66 98 52 38],[76 86 90 92]
[70 46],[90  3],80,26,[79 33],[59 25],[[ 4 78 70 40]; [34 70 18  6]],[[ 74  32  70  82]; [ 66  84 102  76]],[44 18 22 28],[98 72 50  2]
[57 50],[39 74],6,32,[18 23],[74 57],[[ 38   8  38  72]; [ 42   0  22 100]],[[ 12   0  12  22]; [  0  12  44 104]],[100  38  52 102],[50 16 82 52]
[10 40],[62 56],76,88,[75 90],[ 3 31],[[84 48 88 20]; [26 32  6 66]],[[ 38  10  24 102]; [ 22  58  10 104]],[26 28 68 50],[26 26 66 70]
[22  8],[61 68],2,102,[47 71],[73  7],[[ 6 92 68 62]; [ 2 98 34 32]],[[ 12   0  10  56]; [ 14 102  62  26]],[54  6 88 54],[ 32  60  74 104]
[22 68],[100   6],36,76,[32 70],[38  8],[[ 32  30  24  92]; [ 56  28 100  68]],[[66 30 90 28]; [60  8 86 14]],[ 52  66  10 100],[ 42  80  86 104]
[57 20],[89  2],24,32,[ 7 45],[ 97 104],[[ 40  90  86  40]; [ 76  40  80 102]],[[104  26  42   8]; [ 84  92  30  80]],[50 96 60 80],[80 60 46 90]
[69 35],[ 5 90],34,36,[92 26],[78 20],[[14 72 92 12]; [62 62 94 20]],[[40 48 48 30]; [68 24 82 30]],[30 74 58 70],[12 34 30  6]
[29 30],[29 15],46,20,[16  8],[ 2 50],[[28 72 28 40]; [34 20 96 18]],[[ 84  50  48   2]; [ 90  62  78 102]],[104  36  68 102],[14 24 54 84]
[19 89],[18 17],82,12,[36 72],[51 60],[[ 42  30   0  26]; [102  64   0  92]],[[88 34 72 80]; [54 62 70  8]],[66 80 88 62],[30 18 42 62]
[91 95],[72 19],72,18,[60 72],[40 34],[[68 90 68 96]; [70 28 94  8]],[[ 98  56  56  66]; [ 72 100  26  60]],[ 44  96  64 104],[96  4 20 48]
[31 94],[ 9 99],50,4,[ 40 102],[73 57],[[102 102  98  74]; [ 14   2  98  30]],[[ 20  92  70  88]; [ 38   4  54 104]],[32 12 68 56],[80 72 68 56]
[44 85],[29 43],16,100,[50 28],[ 8 42],[[ 72  92 104  30]; [ 32  86   4  44]],[[ 68  44  84  46]; [104  38   4   4]],[42 72  6 34],[ 60  14 100  62]
[53 83],[40 71],88,40,[101  89],[23 13],[[ 4 30 26 20]; [56 34 32 82]],[[ 6 32  4 68]; [92  8 72 56]],[42 54 68 36],[68 72 70 96]
[ 2 43],[48 59],36,66,[33 52],[91 47],[[24 18 38 48]; [46 32 80 66]],[[24 38 30 52]; [22 54 10 36]],[62 82  2 14],[76 10 30 30]
[81 72],[ 90 103],82,48,[47 86],[12 21],[[98 24 18 42]; [80 40  2 94]],[[40 94 72 98]; [76  6 86 84]],[42 16 16 98],[ 98  82 102  30]
[71  5],[70 10],30,98,[21 26],[ 73 104],[[ 6  2  4 12]; [24 42 14  2]],[[ 8 78  8 28]; [64 66 18  8]],[ 2 24 36 94],[ 0 98 18 78]
[ 9 49],[11 71],68,46,[ 5 13],[ 5 41],[[12 78 32 12]; [74 88 92 20]],[[62 66  4 28]; [84 94 38 66]],[ 4 22 16  6],[42  4 54 90]
[24 20],[33  6],4,26,[29 14],[49 90],[[38 74 38 84]; [74 56 72  0]],[[ 18  94  92  66]; [100   8  50   2]],[82 28  4 78],[64 84  8 88]
[52 38],[23 58],76,72,[80 71],[25 99],[[ 2 18 12 50]; [68 66 32 44]],[[ 24  70  26  94]; [ 82  32 100  50]],[12 60  2 80],[42 34 70 92]
[83 81],[44 27],16,26,[96  4],[48 48],[[ 88  80  46  60]; [ 48  82 104  34]],[[80 88 58 58]; [68 66 68  6]],[38 96 86 96],[92 60 84  6]
[23 63],[20 53],6,62,[27 80],[25 67],[[40 68  0  6]; [ 0 68 80 10]],[[ 64   0  22  58]; [ 38  38 104  80]],[12 28 34 70],[40 92 90  4]
[34 59],[31 77],6,6,[19 98],[70 49],[[78 50  8 92]; [20 56 36 36]],[[28 78 52 44]; [30  4 48 90]],[  8  46 100  14],[12 98 10 52]
[ 2 94],[ 6 70],32,70,[75 93],[11 69],[[12 74 96 16]; [20 12 32 16]],[[ 20   2 100  52]; [ 84  92 104  52]],[74 18 92  4],[96 48 66 40]
[81 93],[70 53],20,88,[94 73],[52 65],[[80 72 82 32]; [90 96 44 12]],[[42 68 58 84]; [84 20 68 12]],[32 32 66 30],[92 76  4 88]
[ 1 55],[94 88],92,56,[78  9],[11 26],[[12  0 48 28]; [ 8  4 34 88]],[[70 94 14 60]; [32  4 78 78]],[86 80 38 80],[102  82  64  76]
[59 28],[74 50],52,6,[60 27],[38  6],[[ 4 42 46 36]; [44 44 28 76]],[[84 40 40 78]; [50 40 70 56]],[ 50 100  76   4],[96 88  8 64]
[97 34],[46  2],68,26,[41 36],[103  60],[[62 72 96 70]; [66 10 68 96]],[[14 42 58 36]; [28 18 94 72]],[82 76 54 44],[22 78 84 96]
[45 99],[69 49],6,16,[19 14],[19 52],[[22 58 24 92]; [66 90 86 40]],[[24 14 50 54]; [82 40 64 52]],[ 34 100  78  10],[90 10 36 56]
[24 33],[36 23],66,52,[10 16],[54 35],[[48 98 10 98]; [48 18 36 44]],[[62 58 60 58]; [34  2  4 52]],[26 50 98 50],[ 66  76 100  98]
[61 28],[52  1],92,94,[60 68],[32 78],[[14 92  4 78]; [32 12 92 30]],[[38 86 68 38]; [56 18 10 16]],[12 70  4 66],[40 62 92 48]
[ 0 32],[20 37],94,100,[88 74],[84  4],[[102  24  42  20]; [ 76  22   6  56]],[[ 78  34 104  92]; [ 48 100  96  20]],[  0  14 104 100],[ 52 102  38  60]
[95 11],[95 81],86,64,[21 84],[24 18],[[18 18 92 30]; [54 58 90 22]],[[78 28 20 84]; [78 16 94 98]],[84 60 48 38],[22 98 94 40]
[99  3],[ 8 21],92,100,[91 72],[71 62],[[66 98 32 18]; [78 84 40 76]],[[22 86 46 56]; [94  6 52 48]],[ 64  44  28 100],[98 18 36  8]
[19 57],[20  3],98,42,[61  8],[89 92],[[ 22   0 104  14]; [ 20  34  48  20]],[[76 50 60  4]; [70  8 32 96]],[38 68 90  6],[48 12 20 88]
[43 83],[7 8],56,98,[31 23],[102  83],[[ 82   2  34   0]; [ 50  70  60 100]],[[104  82  62   4]; [ 28  70 102  22]],[18 72 14 10],[86 66  4 34]
[53 45],[40 70],84,18,[33  7],[87 67],[[46 64 32 92]; [36  8 32 96]],[[ 2 38 42 54]; [92 74 50 48]],[ 32  98 102  68],[14 38 16 64]
[ 65 101],[32 66],16,30,[49 73],[61 13],[[ 98  60  78  82]; [104  66  62  48]],[[ 86  82  58  58]; [ 28 104  94  52]],[ 52 104  66  24],[68 42 76 80]
[29 91],[38 66],86,76,[ 74 100],[89 39],[[ 28  60  50  70]; [ 58  20  34 102]],[[16 72 10 36]; [48 84 38 56]],[104  36  52   8],[  8  52 104  88]
[85 52],[87 55],14,98,[ 6 71],[12 55],[[40 68 96 38]; [92 48 24 74]],[[92 22 34 38]; [78 86 46 68]],[22 72 10 30],[ 66 104  98  74]
[79 77],[36 58],98,12,[79 79],[47 73],[[52 78  2 96]; [ 6 58 74 82]],[[26 48 34 84]; [ 2 92  8 18]],[42 22 94 22],[ 0 34  6 48]
[87  3],[10 46],6,96,[83 79],[89 57],[[  8  68   4  32]; [ 22 102  98  64]],[[68 42 16 90]; [16  6 60 60]],[12 60  2 12],[ 14 104  44  82]
[50 25],[68 50],94,92,[ 72 100],[33 10],[[ 98  24 104  56]; [  4  86   0  72]],[[104  58  76  72]; [ 42  98  48 104]],[32 92 82 10],[34 54 78  2]
[80 36],[ 59 102],50,8,[69 26],[25 34],[[84 90 36  8]; [58 90 46 82]],[[32 92 46 76]; [14 48 12 60]],[30 20 54 70],[32 22  2 14]
[ 6 41],[62  3],18,20,[36 26],[70 32],[[52 82 92 18]; [98 50 84 74]],[[100  10  28  48]; [100  90  94  88]],[90 40 34 78],[ 26  80  28 104]
[59 32],[ 3 64],34,88,[ 44 101],[ 66 101],[[ 94  10  20  56]; [  6 102  56   6]],[[ 6 12 20 56]; [72 24 42  6]],[34  2 92 88],[20 56 22 88]
